UN_DENOMINACION,TIPO,CONTRATACION,NOMBRE_TS,INICIO,ACCION
4,1,2615,6,01-abr-12,GO
3,1,7138,5,24-feb-15,GO
4,1,17925,10,19-sep-13,GO
4,1,119807,9,02-ene-12,GO
2,1,5229,9,25-ago-14,GO
4,1,42685,6,18-mar-11,NO GO
4,1,6918,11,26-jun-12,NO GO
1,1,340460,4,01-ene-12,NO GO
4,1,2290,11,14-feb-14,NO GO
3,1,295280,10,31-dic-13,NO GO
2,1,4028,6,13-may-13,GO
2,1,66856,6,31-ene-11,GO
2,1,746913,2,31-jul-15,GO
2,1,24219,10,07-sep-12,GO
2,1,594525,10,23-dic-15,GO
4,1,273,5,19-may-14,NO GO
3,1,276360,2,30-jun-15,GO
3,1,5584,5,05-abr-16,GO
2,1,21420,4,01-jul-14,GO
2,1,1008,9,26-jun-13,GO
2,1,58200,10,26-nov-12,GO
4,1,21777,5,30-nov-12,GO
2,1,21301,6,25-jun-11,GO
4,1,24677,11,31-jul-15,GO
2,1,2985,9,05-dic-13,GO
4,1,31446,1,01-nov-13,NO GO
4,1,15830,11,01-jun-12,NO GO
2,1,3484,9,14-mar-16,NO GO
3,1,82028,5,16-jun-15,NO GO
3,1,114022,5,30-jun-14,NO GO
2,1,148892,2,01-dic-14,NO GO
2,1,8658,9,31-ene-16,GO
2,1,33072,6,15-jun-12,GO
2,1,3423,9,04-abr-16,GO
2,1,3098,6,15-ago-12,GO
2,1,22577,10,15-jul-15,GO
2,1,64564,10,12-feb-15,GO
2,1,16677,10,08-may-13,GO
2,1,67245,6,24-jul-11,GO
4,1,186556,4,31-may-15,GO
4,1,17999,1,31-jul-15,GO
4,1,28138,11,30-oct-14,NO GO
4,1,8116,11,16-dic-13,NO GO
4,1,63425,6,30-jul-11,NO GO
2,1,17039,5,30-ene-15,NO GO
2,1,15277,10,31-ene-15,GO
2,1,7959,10,29-feb-16,GO
2,1,5012,4,07-nov-14,GO
4,1,16368,11,25-nov-14,GO
4,1,46342,1,31-ago-15,NO GO
3,1,25114,6,10-mar-11,NO GO
2,1,9577,9,31-ene-16,GO
0,0,181285,10,01-sep-13,GO
3,1,2796,10,27-mar-14,GO
4,1,3301,3,18-nov-13,GO
3,1,163305,5,30-abr-15,NO GO
4,1,33576,1,16-sep-13,NO GO
2,1,25902,10,16-nov-15,NO GO
0,0,171862,10,31-ago-14,NO GO
2,1,14088,10,21-sep-15,NO GO
2,1,26038,6,30-sep-12,GO
2,1,11777,10,17-jun-15,GO
2,1,16727,10,15-may-14,GO
2,1,55888,9,01-abr-13,GO
4,1,24428,6,31-oct-13,GO
2,1,8501,9,31-jul-14,GO
2,1,118092,10,10-jul-13,GO
2,1,10213,9,31-may-15,GO
3,1,7727,5,19-nov-15,GO
4,1,214934,9,10-mar-16,GO
4,1,31433,6,11-abr-11,GO
3,1,57733,2,29-jun-12,NO GO
2,1,10942,10,05-feb-14,GO
2,1,2353,9,21-nov-14,GO
2,1,38367,6,01-ene-11,GO
2,1,5819,6,01-may-11,GO
2,1,30171,10,27-jun-12,GO
2,1,7476,9,30-nov-15,GO
2,1,68537,10,06-abr-16,GO
2,1,10140,10,15-jul-15,GO
2,1,39611,10,01-ene-13,GO
2,1,13210,6,01-ene-11,GO
4,1,21190,9,01-ago-12,GO
3,1,84331,2,02-may-11,GO
4,1,369637,9,31-may-15,GO
3,1,42370,7,30-abr-15,GO
2,1,33121,4,21-nov-13,NO GO
4,1,321477,11,29-oct-13,NO GO
2,1,2133,6,01-jul-11,NO GO
4,1,264,11,27-nov-14,GO
2,1,32726,10,15-nov-12,GO
2,1,62678,9,30-ene-15,GO
4,1,2216667,9,30-nov-11,GO
2,1,50913,10,03-dic-12,GO
4,1,3233,11,01-nov-14,NO GO
2,1,27401,10,01-jun-12,GO
2,1,4988,6,09-ago-12,GO
2,1,4510,10,03-feb-16,GO
2,1,5589,9,14-nov-14,GO
2,1,11021,9,01-ene-13,GO
2,1,28619,10,31-jul-13,GO
4,1,17995,9,22-ago-16,GO
3,1,91103,6,31-ene-11,GO
4,1,4485,5,19-sep-14,GO
2,1,205233,10,03-sep-12,GO
2,1,4347,9,31-dic-13,GO
3,1,2520,7,15-abr-13,GO
2,1,7993,6,07-jun-13,GO
4,1,219388,4,24-abr-12,GO
3,1,44652,2,17-sep-13,GO
2,1,1622,9,01-ene-16,NO GO
2,1,2613,9,30-nov-16,NO GO
1,1,6110,10,01-ene-13,NO GO
2,1,83054,10,01-feb-13,GO
2,1,21091,9,24-mar-15,GO
4,1,34423,11,31-oct-16,GO
2,1,44575,10,30-sep-15,GO
4,1,8913,11,16-dic-16,GO
2,1,1868,10,09-may-11,GO
2,1,27060,10,29-jun-12,GO
4,1,145668,9,30-jun-14,GO
2,1,62202,9,28-feb-15,GO
2,1,8232,9,01-dic-12,GO
2,1,42268,9,01-ene-16,GO
2,1,2328,6,06-feb-12,GO
2,1,79280,4,17-ene-16,GO
4,1,95047,11,30-ene-15,NO GO
3,1,134846,10,23-mar-12,NO GO
2,1,35138,10,31-mar-16,GO
2,1,76679,6,01-ene-12,GO
2,1,13881,9,01-ene-13,GO
2,1,9993,9,03-nov-14,GO
2,1,18343,10,01-ene-14,GO
2,1,23028,9,31-ene-15,GO
2,1,58542,5,30-oct-14,GO
2,1,31599,10,08-ene-15,GO
2,1,55951,10,14-jun-13,GO
4,1,10627,11,20-oct-15,GO
2,1,10662,10,31-ene-16,GO
4,1,76154,1,31-may-15,GO
2,1,24958,11,29-abr-15,NO GO
2,1,2610259,2,15-jul-12,NO GO
4,1,16059,4,19-mar-14,NO GO
0,0,43574,10,28-feb-15,NO GO
0,0,5498,10,15-oct-15,NO GO
2,1,19439,6,18-nov-11,GO
4,1,17933,4,30-ago-16,NO GO
2,1,20983,6,17-ene-12,GO
2,1,44610,10,28-jul-13,GO
2,1,6766,6,27-mar-12,GO
4,1,629539,9,31-ene-14,GO
3,1,5832,5,08-nov-13,NO GO
2,1,1725,9,01-ene-16,GO
2,1,35378,10,07-ene-13,NO GO
2,1,1835,10,15-jun-16,NO GO
2,1,1835,10,15-jun-16,NO GO
2,1,5438,10,22-dic-14,GO
2,1,20095,6,01-ene-11,GO
2,1,7186,9,01-ago-14,GO
4,1,16837,11,30-dic-15,GO
4,1,101519,9,10-mar-16,GO
4,1,204471,1,11-nov-13,GO
4,1,2314,11,22-dic-14,GO
4,1,53980,11,04-oct-11,NO GO
4,1,38575,1,21-oct-13,NO GO
3,1,39247,5,23-mar-16,NO GO
4,1,7588,11,30-dic-14,NO GO
2,1,55862,6,01-jul-12,GO
2,1,309695,2,31-ago-14,GO
4,1,17957,9,30-abr-15,GO
2,1,47800,10,03-dic-12,GO
2,1,238577,2,03-ene-14,GO
4,1,55920,10,31-dic-15,GO
4,1,9617,11,15-nov-13,GO
2,1,33383,2,31-ene-15,GO
4,1,24830,6,09-oct-11,NO GO
4,1,967,11,01-jun-12,NO GO
2,1,20990,10,30-sep-15,GO
2,1,81546,6,01-ene-11,GO
3,1,171352,2,01-mar-12,GO
2,1,143661,4,30-sep-13,GO
2,1,110723,10,28-jul-13,GO
4,1,292945,4,14-jun-11,GO
4,1,16708,11,11-dic-15,GO
4,1,180416,1,21-jun-13,GO
3,1,5947,4,19-nov-12,NO GO
2,1,28152,10,16-nov-15,NO GO
2,1,9219,5,15-dic-14,GO
2,1,11630,10,04-nov-14,GO
3,1,24638,10,15-ene-14,GO
2,1,19058,5,08-nov-13,GO
2,1,3077,9,01-ene-16,GO
2,1,43836,9,01-jun-16,GO
2,1,12975,9,01-ene-13,GO
3,1,1212,11,22-feb-16,GO
4,1,2069,10,30-abr-12,GO
4,1,16397,5,30-ago-16,GO
2,1,47828,10,29-nov-12,GO
4,1,14807,3,27-mar-13,GO
4,1,5522,11,13-mar-15,GO
4,1,19820,7,01-sep-14,GO
2,1,1166971,2,25-nov-11,GO
2,1,18536,11,02-mar-16,NO GO
2,1,81170,10,02-nov-16,NO GO
4,1,110811,10,31-oct-11,NO GO
4,1,4867,6,01-feb-13,NO GO
2,1,10494,5,01-nov-16,GO
2,1,22291,6,01-ene-12,GO
3,1,39195,10,30-jun-15,GO
2,1,43237,10,29-may-14,GO
2,1,40701,10,17-nov-16,GO
4,1,16599,11,07-nov-13,NO GO
2,1,10967,10,23-mar-15,GO
2,1,44905,10,31-ene-16,GO
3,1,46080,2,17-sep-14,GO
3,1,5962,6,01-ene-11,GO
2,1,1725,9,01-sep-16,NO GO
4,1,245108,11,30-nov-14,NO GO
2,1,4706,6,12-sep-11,GO
2,1,9442,10,05-jun-13,GO
2,1,162787,10,29-jun-12,GO
4,1,63102,1,27-abr-12,GO
0,0,3433,3,24-nov-16,GO
3,1,30316,7,15-jul-11,NO GO
3,1,13333,10,30-jun-14,GO
2,1,9012,10,14-abr-15,GO
4,1,704342,9,08-jun-11,GO
4,1,54664,11,23-may-14,NO GO
2,1,60963,10,31-ene-14,NO GO
4,1,3854,4,21-mar-13,NO GO
4,1,122076,1,31-mar-16,NO GO
2,1,5075,9,01-jul-16,NO GO
2,1,14370,6,12-dic-11,GO
2,1,3406,10,30-nov-15,GO
